fe,num_examples,baseline.fn,fn+exemplars,fn+exemplars+siblings,fn+exemplars+srl
Cause_change;Initial_category,1,0,0,0,0
Cause_change_of_position_on_a_scale;Agent,1,0,0,0,0.5
Cause_change_of_position_on_a_scale;Attribute,4,0,0.666666666666667,0.666666666666667,0.666666666666667
Cause_change_of_position_on_a_scale;Cause,2,0,0,0,0
Cause_change_of_position_on_a_scale;Difference,1,0,0,0,0
Cause_expansion;Agent,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Cause_expansion;Item,2,1,0.8,0.8,0.8
Cause_expansion;Result_size,1,0,0,0,0
Cause_harm;Time,1,0,0,0,0
Cause_harm;Victim,1,1,1,1,1
Cause_motion;Agent,2,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Cause_motion;Goal,1,1,1,1,1
Cause_motion;Instrument,1,0,0,0,0
Cause_motion;Theme,2,0.5,0.5,0.5,0.5
Cause_to_continue;Process,1,0,1,1,1
Cause_to_end;Agent,1,1,0,0,0
Cause_to_end;Process,1,0,0,0,0
Cause_to_fragment;Agent,1,1,1,0.666666666666667,1
Cause_to_fragment;Time,1,0,1,1,1
Cause_to_fragment;Whole_patient,2,0,0,0.5,0
Cause_to_make_progress;Agent,4,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
Cause_to_make_progress;Project,8,0.941176470588235,0.823529411764706,0.823529411764706,0.823529411764706
Cause_to_make_progress;Purpose,1,0,0,0,0
Cause_to_make_progress;Time,1,0,0,0,0
Cause_to_perceive;Entity,2,1,0.666666666666667,0,0.666666666666667
Cause_to_perceive;Phenomenon,2,0,0,0,0
Cause_to_resume;Agent,1,1,1,1,1
Cause_to_resume;Process,2,0.5,0.5,0.5,0.5
Cause_to_resume;Time,1,0,1,1,1
Ceasing_to_be;Entity,1,0,0,0,0
Certainty;Cognizer,7,0.5,0.714285714285714,0.666666666666667,0.857142857142857
Certainty;Content,6,0.5,0.5,0.5,0.470588235294118
Certainty;Topic,5,0,0,0,0
Change_direction;Direction,1,0,0,0,0
Change_direction;Goal,1,0,0,0,0
Change_event_duration;Agent,1,1,0,0,0
Change_event_duration;Cause,1,0,0,0,0
Change_event_duration;Event,2,0,0,0,0
Change_of_leadership;New_leader,1,0,0,0,0
Change_of_leadership;Old_leader,1,1,0,0,0
Change_of_leadership;Place,1,0,0,0,0
Change_of_leadership;Selector,2,0,0,0,0
Change_position_on_a_scale;Attribute,9,0,0.4,0.8,0.8
Change_position_on_a_scale;Circumstances,1,0,0,0,0
Change_position_on_a_scale;Difference,4,0,0,0,0
Change_position_on_a_scale;Duration,1,0,0,0,0
Change_position_on_a_scale;Final_value,5,0,0.6,0.6,0.666666666666667
Change_position_on_a_scale;Initial_value,2,0,0,0,0
Change_position_on_a_scale;Item,13,0.24,0.181818181818182,0.333333333333333,0.352941176470588
Change_position_on_a_scale;Speed,1,0,0,0,0
Change_position_on_a_scale;Time,3,0,0,0,0
Change_posture;Direction,1,0,1,1,1
Change_posture;Location,1,0,0,1,0
Change_posture;Protagonist,2,0,0,0,0
Change_posture;Time,1,0,0,0,0
Chatting;Interlocutor_1,1,0,0,1,0
Chatting;Interlocutors,1,0,0.666666666666667,1,0.666666666666667
Chatting;Manner,1,0,0,0,0
Chatting;Topic,1,0,1,1,1
Choosing;Chosen,1,0,0,0,0
Choosing;Cognizer,1,1,1,1,1
Choosing;Manner,1,0,0,0,0
Choosing;Possibilities,1,0,0,0,0
Claim_ownership;Claimant,2,0,0.666666666666667,0.666666666666667,0.333333333333333
Claim_ownership;Property,4,0.4,1,1,1
Clothing;Descriptor,2,0,0.5,0.5,0.5
Clothing;Garment,4,0.285714285714286,1,1,1
Clothing_parts;Subpart,2,0,1,1,1
Clothing_parts;Wearer,1,0,1,1,1
Cogitation;Cognizer,5,1,1,1,1
Cogitation;Time,1,0,0,0,0
Cogitation;Topic,7,0.4,0.615384615384615,0.714285714285714,0.714285714285714
Collaboration;Partner_1,3,0.5,0.666666666666667,0.4,0.666666666666667
Collaboration;Partner_2,1,0,0,0,0
Collaboration;Partners,4,0,0.571428571428572,0.571428571428572,0.666666666666667
Collaboration;Undertaking,2,0,0,0,0
Color;Color,4,0.666666666666667,1,1,1
Color;Entity,4,0.75,0.75,0.75,0.5
Coming_to_be;Entity,1,1,1,1,1
Coming_to_believe;Cognizer,1,1,0,0,1
Coming_to_believe;Content,1,0,1,1,1
Coming_to_believe;Time,1,0,0,0,0
Coming_up_with;Cognizer,2,0,1,1,1
Coming_up_with;Idea,3,0,0,0,0
Coming_up_with;Time,1,0,0,0,0
Commerce_buy;Buyer,8,0.8,0.75,0.75,0.933333333333333
Commerce_buy;Goods,8,0.625,0.625,0.625,0.625
Commerce_buy;Seller,4,0.4,0.4,0.4,0.4
Commerce_buy;Time,2,0.666666666666667,0,0,0
Commerce_pay;Buyer,6,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
Commerce_pay;Goods,2,0,1,1,1
Commerce_pay;Seller,4,0,0,0.4,0
Commerce_pay;Time,5,0,0,0,0
